id,title,category,aliasList,positionList,url
30,Rudolf-Plank-Hörsaal (40.32),lecturehall,[],"['49.01457', '8.41734']",
31,10.21,building,[],"['49.00945', '8.41346']",
32,10.23,building,[],"['49.00937', '8.41428']",
33,40.27,building,[],"['49.01437', '8.41573']",
34,30.43,building,[],"['49.01237', '8.41451']",
35,40.18,building,[],"['49.01550', '8.41484']",
36,40.19,building,[],"['49.01448', '8.41445']",
37,20.54,building,[],"['49.01195', '8.40923']",
38,20.52,building,[],"['49.01224', '8.40929']",
39,20.53,building,[],"['49.01217', '8.40900']",
40,20.50,building,[],"['49.01240', '8.40874']",
41,20.51,building,[],"['49.01230', '8.40904']",
42,40.11,building,[],"['49.01400', '8.41489']",
43,40.12,building,[],"['49.01436', '8.41486']",
44,40.13,building,[],"['49.01471', '8.41518']",
45,40.14,building,[],"['49.01478', '8.41453']",
46,30.12,building,[],"['49.01312', '8.40918']",
47,30.11,building,[],"['49.01310', '8.40976']",
48,30.10,building,[],"['49.01288', '8.40949']",
49,08.03,building,[],"['49.00761', '8.40435']",
50,30.96,building,[],"['49.01300', '8.41598']",
51,30.95,building,[],"['49.01268', '8.41569']",
52,30.93,building,[],"['49.01273', '8.41333']",
53,30.29,building,[],"['49.01192', '8.41168']",
54,30.91,building,[],"['49.01328', '8.41374']",
55,30.90,building,[],"['49.01328', '8.41426']",
56,40.21,building,[],"['49.01407', '8.41570']",
57,11.40,building,[],"['49.01017', '8.41184']",
58,10.95,building,[],"['49.01006', '8.41419']",
59,10.94,building,[],"['49.01029', '8.41380']",
60,01.52,building,[],"['49.01307', '8.40839']",
61,01.51,building,[],"['49.01320', '8.40771']",
62,10.50,building,[],"['49.00951', '8.41695']",
63,06.46,building,[],"['49.02042', '8.36752']",
64,30.80,building,[],"['49.01327', '8.41485']",
65,30.81,building,[],"['49.01109', '8.41467']",
66,30.82,building,[],"['49.01112', '8.41530']",
67,50.38,building,[],"['49.01491', '8.42104']",
68,40.23,building,[],"['49.01416', '8.41626']",
69,50.10,building,[],"['49.01286', '8.41928']",
70,50.12,building,[],"['49.01289', '8.41956']",
71,40.22,building,[],"['49.01405', '8.41610']",
72,40.16,building,[],"['49.01530', '8.41501']",
73,20.12,building,[],"['49.01257', '8.40664']",
74,10.40,building,[],"['49.00924', '8.41664']",
76,30.79,building,[],"['49.01330', '8.41711']",
77,05.20,building,[],"['49.00900', '8.40958']",
78,30.70,building,[],"['49.01300', '8.41709']",
79,40.15,building,[],"['49.01508', '8.41500']",
80,10.62,building,[],"['49.01055', '8.41748']",
81,40.17,building,[],"['49.01546', '8.41451']",
82,30.46,building,[],"['49.01168', '8.41384']",
83,50.24,building,[],"['49.01009', '8.41938']",
84,40.24,building,[],"['49.01428', '8.41624']",
85,02.95,building,[],"['49.01066', '8.40254']",
86,40.26,building,[],"['49.01450', '8.41598']",
87,20.14,building,[],"['49.01196', '8.40750']",
88,40.43,building,[],"['49.01653', '8.41585']",
89,40.41,building,[],"['49.01795', '8.41420']",
90,40.40,building,[],"['49.01579', '8.41638']",
91,30.60,building,[],"['49.01233', '8.41669']",
92,30.61,building,[],"['49.01229', '8.41729']",
93,10.70,building,[],"['49.00986', '8.41629']",
94,50.33,building,[],"['49.01459', '8.42128']",
95,50.32,building,[],"['49.01395', '8.42157']",
96,50.31,building,[],"['49.01413', '8.42077']",
97,50.36,building,[],"['49.01493', '8.41964']",
98,50.35,building,[],"['49.01469', '8.42042']",
99,50.34,building,[],"['49.01389', '8.41951']",
100,06.31,building,[],"['49.02243', '8.36692']",
